index,title,text
1892,Chapter 3 Infectious Bronchitis Virus in Poultry: Molecular Epidemiology and Factors Leading to the Emergence and Reemergence of Novel Strains of Infectious Bronchitis Virus,The virus can cause substantial economic losses throughout the poultry industry worldwide
1892,Chapter 3 Infectious Bronchitis Virus in Poultry: Molecular Epidemiology and Factors Leading to the Emergence and Reemergence of Novel Strains of Infectious Bronchitis Virus,"For logistics and economic reasons, some commercially available live attenuated IBV vaccines have been combined with other virus vaccines such as those against Newcastle disease virus, Marek's disease virus, and infectious bursal disease virus"
2681,Protective effects of hypericin against infectious bronchitis virus induced apoptosis and reactive oxygen species in chicken embryo kidney cells,IBV has led to severe economic losses in the poultry industry worldwide
4174,The psychological impact of the COVID-19 epidemic on college students in China,"Spearman's correlation coefficient, r, was used to evaluate the association between COVID-19-related stressors, including economic and daily-life related stressors, as well as stressors related to delays in academic activities, and anxiety level"
4174,The psychological impact of the COVID-19 epidemic on college students in China,"Worry about the economic influences of the epidemic were positively related to the levels of anxiety in college students (r = .327, P < .001)"
4174,The psychological impact of the COVID-19 epidemic on college students in China,"This might be explained by the imbalance of economic, cultural, and educational resources between urban and rural areas"
4174,The psychological impact of the COVID-19 epidemic on college students in China,"The stability of family income was also was a significant factor in students' experienced anxiety during the COVID-19 crisis, which could be explained by increased psychological and economic pressure (Liu, 2013) "
4174,The psychological impact of the COVID-19 epidemic on college students in China,"Consistent with our hypothesis, the COVID-19-related stressors, which include economic stressors, effects on daily-life, and academic delays, were positively associated with anxiety symptoms of Chinese college students during the epidemic"
4174,The psychological impact of the COVID-19 epidemic on college students in China,"The COVID-19-related stressors that included economic stressors, effects on daily-life, and academic delays were positively associated with the level of anxiety symptoms of Chinese college students during the epidemic, whereas social support was negatively correlated with their anxiety."
7839,Immunohistochemical and molecular detection of natural cases of bovine rotavirus and coronavirus infection causing enteritis in dairy calves,"Economics of any livestock farm dependent on the health of its neonates, which are the future herd [1] "
7839,Immunohistochemical and molecular detection of natural cases of bovine rotavirus and coronavirus infection causing enteritis in dairy calves,"Despite the fact, neonatal calves are abysmally cared, with the result significant morbidity and mortality of these calves incurred huge economic consequences"
7841,Gga-miR-30d regulates infectious bronchitis virus infection by targeting USP47 in HD11 cells,"Since IB was first described by Schalk and Hawn in USA in 1931 [2] , it has developed into one of the foremost causes of economic loss in the poultry industry, affecting the performance of both meat-type and egglaying chickens"
8080,SARS-CoV-2: fear versus data,"In comparison, the mortality rate of SARS-CoV-2 in European or American developed countries of a comparable economic level is 1.3% (Table 3 )"
22177,Prevalence of Pathogens Related to Bovine Respiratory Disease Before and After Transportation in Beef Steers: Preliminary Results,"Consequently, it has been suggested that, to reduce the economic cost of the disease, it may be more effective to focus on the host than the pathogens [1, 22] "
22338,"PEDV enters cells through clathrin-, caveolae-, and lipid raft-mediated endocytosis and traffics via the endo-/lysosome pathway","As a type of alphacoronavirus, porcine epidemic diarrhea virus (PEDV) has caused enormous economic loss to the global pork industry, especially after the emergence of highly pathogenic PEDV variant strains in 2010"
22550,Genomic Characterization and Phylogenetic Classification of Bovine Coronaviruses Through Whole Genome Sequence Analysis,"BCoV infections in herds lead to a reduction in milk production, deterioration of health, and deaths of young animals, resulting in severe economic losses [6, 7] "
25037,"Knowledge, attitudes, and practices towards COVID-19 among Chinese residents during the rapid rise period of the COVID-19 outbreak: a quick online cross-sectional survey","master degree and above, β: -0.191 ~ -1.346, P<0.001), and occupations of unemployment (β: -0.158, P=0.040) and students (β: -0.234, P<0.001) (vs"
25037,"Knowledge, attitudes, and practices towards COVID-19 among Chinese residents during the rapid rise period of the COVID-19 outbreak: a quick online cross-sectional survey","Considering that educational attainment and occupation are often used as proxy measures of socioeconomic status [22] , strictly speaking, our findings can only be generalized to Chinese populations of a relatively high socioeconomic status, particularly women."
25037,"Knowledge, attitudes, and practices towards COVID-19 among Chinese residents during the rapid rise period of the COVID-19 outbreak: a quick online cross-sectional survey","In summary, our findings suggest that Chinese residents of a relatively high level of socioeconomic status, in particular women, have had good knowledge, optimistic attitudes, and appropriate practices towards COVID-19 during the rapid rise period of the COVID-19 outbreak"
25037,"Knowledge, attitudes, and practices towards COVID-19 among Chinese residents during the rapid rise period of the COVID-19 outbreak: a quick online cross-sectional survey","Due to the limitation in representativeness of the sample, more studies are warranted to investigate the KAP towards COVID-19 among Chinese residents of a low socioeconomic status."
33839,Assessing the impact of reduced travel on exportation dynamics of novel coronavirus infection (COVID-19),These political decisions regarding movement restrictions must balance the expected epidemiological impact with predicted economic burden-the latter of which we did not examine
33863,Risk map of the novel coronavirus (2019-nCoV) in China: proportionate control is needed,"We evaluated the risk of 2019-nCoV outbreak in cities and regions across China and suggested four levels of risk, highlighting that the cities with low risk should return to the normal status in order to avoid unnecessary economic loss."
33863,Risk map of the novel coronavirus (2019-nCoV) in China: proportionate control is needed,"Similarly, GDP is an index of economic activities, which links to human flow and virus transmission rate."
33882,Functional pangenome analysis suggests inhibition of the protein E as a readily available therapy for COVID-2019,"The current epidemic of the novel coronavirus (SARS-CoV-2) has triggered a rising global health emergency (WHO https://www.who.int/emergencies/diseases/novel-coronavirus-2019) with disruptive health, social and economic repercussions"
33889,Effective containment explains sub-exponential growth in confirmed cases of recent COVID-19 outbreak in Mainland China,"12th), despite geographical, socio-economical differences, differences in containment strategies, and heterogeneties that may have variable impacts on how the local epidemic unfolds, cf"
33987,Stochastic discrete epidemic modeling of COVID-19 transmission in the Province of Shaanxi incorporating public health intervention and case importation,"Since the outbreak scale in the Province of Shanxi was relatively small and this is subject to stochasticity in both case importation and local cases generated by the importation and since the Provincial data has detailed information on symptom onset and serial intervals, we adopt a method developed by Nishiura and Chowell [15, 16] to estimate the effective reproduction number, and we revise some of our early deterministic models to a novel discrete stochastic model to address the key issues relevant to preventing a secondary outbreak of COVID-19 in other provinces except for Hubei, due to the anticipated gradually relaxing of travel restriction and returning to normal social and economic activities."
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"Early and integrated NPI strategies should be prepared, adopted and adjusted to minimize health, social and economic impacts in affected regions around the World."
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"[19] [20] [21] The implementation of these NPIs has coincided with the rapid decline in the number of new cases across China, albeit at high economic and social costs"
34099,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,"22 The timing of implementing and lifting interventions is likely to have been and continue to be important, to take advantage of the window of opportunity to save lives and minimize the economic and social impact"
34204,The Impact of School Closure for COVID-19 on the US Healthcare Workforce and the Net Mortality Effects,"5 Adda finds that while school closures do reduce incidence in France, the economic costs are large"
34204,The Impact of School Closure for COVID-19 on the US Healthcare Workforce and the Net Mortality Effects,"Smith et al., Lempel, Epstein, and Hammond, and Adda analyze the economic impacts of school closures"
34204,The Impact of School Closure for COVID-19 on the US Healthcare Workforce and the Net Mortality Effects,"Setting aside the economic costs and focusing on reducing mortality, school closures still create a tradeoff"
34214,Effects of Chinese strategies for controlling the diffusion and deterioration of novel coronavirus-infected pneumonia in China,"COVID-19, a new and severe epidemic, has threatened public health and economic development in China [7] "
34240,Generalized logistic growth modeling of the COVID-19 outbreak in 29 provinces in China and in the rest of the world,"The situation in the United States is also at the very beginning stage, and may pose significant health and economic risks to the world in absence of serious measures."
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"Furthermore, we examine the moderator effects of socioeconomic factors on the transmission of COVID-19 in China, which include population flow out of Wuhan, the distance between cities, GDP per capita, number of doctors, and contemporaneous weather characteristics"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"While many socioeconomic factors moderate the spread of the virus, the actual population flow from the source poses a higher risk to the destination than other factors such as geographic proximity and similarity in economic conditions"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"First, our analysis is connected to the economics and epidemiologic literature on the influencing factors of and ways of preventing the spread of infectious diseases"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"Additionally, literature find that epidemics spread faster during economic booms (Adda, 2016) , increases in employment are associated with increased incidence of influenza (Markowitz et al., 2010) , and growth in trade can significantly increase the spread of influenza (Adda, 2016) and"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"Besides, following the previous literature on the moderator effect of economic development and environmental characteristics on virus transmission, our analysis further reveal that COVID-19 transmission is positively moderated by GDP per capita and negatively moderated by the number of doctors, while the effects of the environmental factors and population density are mixed."
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"A main objective of this paper is to quantify the effect of various social and economic factors in mediating the transmission rates of the virus, which may help identify potential behavioral and socioeconomic risk factors for infections"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"For within city transmissions, we consider the mediating effect of population density, degree of economic development, number of doctors, and environmental factors such as temperature, wind and rain"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,8 Hong Kong and Macao are excluded from our analysis due to the lack of some socioeconomic variables.
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"Most studies on the socioeconomic impacts of climate change have found that estimation results are insensitive to the choice of the cutoff distance (Zhang et al., 2017) "
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"We investigate the impacts of many social, economic and environmental variables in mediating the transmission rates (Eq"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"The effects are robust with the inclusion of other measures of proximity, such as those based on geography and economic similarity"
34271,Impacts of social and economic factors on the transmission of coronavirus disease (COVID-19) in China,"Cities with higher per capita GDP have higher transmission rates, which may be due to more social interactions as a result of more economic activity 17 "
34279,Impact of the contact and exclusion rates on the spread of COVID-19 pandemic,"A bit surprisingly, this scenario, although not resulting from centrally imposed preventive policies, may be the most plausible non-containment scenario balancing health and economic costs."
34305,Temporal relationship between outbound traffic from Wuhan and the 2019 coronavirus disease (COVID-19) incidence in China,"We included demographic, economic, and geographical factors that are potential contributors to the provincial variation in the association between traffic volume and COVID-19 incidence."
34305,Temporal relationship between outbound traffic from Wuhan and the 2019 coronavirus disease (COVID-19) incidence in China,The correlations between traffic volume and COVID-19 incidence were weaker in economically advantaged provinces
34452,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,"The strategy framework was need to be developed based on the epidemiological characteristics, intervention feasibility, and economic cost."
34452,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,The economic data derived from the field work and previous literature ( Table 1 )
34452,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,"One-and-two-way sensitivity analyses were performed to explore impact of the parameters in the range to test the robustness of the findings, including the epidemiological characteristics, interventions implement, and economic parameters."
34457,Financing Vaccines for Global Health Security,"In this study, we examine the economic feasibility of developing and supporting a portfolio of vaccines for the world's most threatening emerging infectious diseases (EIDs) as determined by scientific experts, drawing from the list of targets made by the recently launched global initiative, the Coalition for Epidemic Preparedness Innovations (CEPI) (1) (2) (3) "
34457,Financing Vaccines for Global Health Security,"Uncontrolled outbreaks of EIDs, defined as infections that have ""recently appeared within a population, or those whose incidence or geographic range is rapidly increasing or threatens to increase in the near future"" (5) , have the potential to devastate populations globally, both in terms of lives lost and economic value destroyed"
34457,Financing Vaccines for Global Health Security,"In addition to the thousands of lives lost, the economic costs of these outbreaks are estimated as $671 million, $40 billion, and $2.2 billion, respectively (5) (6) (7) (8) ."
34457,Financing Vaccines for Global Health Security,"few economic incentives for manufacturers to develop preventative vaccines for EIDs, due to the high costs of R&D and the uncertain future demand"
34457,Financing Vaccines for Global Health Security,"Access to these vaccines by non-G7 countries must also be considered, but such access involves political and ethical issues that are beyond the scope of this economic analysis."
34457,Financing Vaccines for Global Health Security,These results suggest that a government-led subscription model is financially feasible and would likely yield significant economic and political benefits to all participating governments
34457,Financing Vaccines for Global Health Security,"Vaccines only sell for a fraction of their economic value, in some cases for only a few dollars"
34457,Financing Vaccines for Global Health Security,"While wealthier governments might issue purchase agreements to assure vaccine sponsors of returns (38), these commitments are more difficult to secure for EIDs in lower-income countries or those undergoing economic hardship"
34457,Financing Vaccines for Global Health Security,The Ebola outbreaks in West Africa in 2014 demonstrate how the absence of vaccine demand prior to an event may result in a tragic loss of life and a regional economic setback
34457,Financing Vaccines for Global Health Security,"Unless these market challenges are addressed, the global population will remain vulnerable to substantial human and economic losses when epidemics and pandemics arise."
34457,Financing Vaccines for Global Health Security,"Although the prevention of epidemics and pandemics saves countless lives and billions of dollars of economic value, the revenue realized by vaccine manufacturers is only a very small fraction of this value"
34457,Financing Vaccines for Global Health Security,Closing the gap between the economic value of
34457,Financing Vaccines for Global Health Security,"This sensitivity analysis underscores the robustness of our results, and demonstrates that an EID vaccine portfolio remains economically unviable even under relatively optimistic cost and revenue assumptions."
34493,Estimating excess 1- year mortality from COVID-19 according to underlying conditions and age in England: a rapid analysis using NHS health records in 3.8 million adults,"The COVID-19 pandemic may cause excess mortality over the next year in the population both because of deaths among those infected, and because people who are not infected are experiencing social and economic upheaval; meanwhile the ability of health services to provide high quality of care for both infected and uninfected patients is increasingly threatened."
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,"For example, restrictions imposed on businesses are increasing unemployment, 19 travel bans are bankrupting airlines, 20 and school closures may have enduring impacts on affected students"
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,"We employ well-established ""reduced-form"" econometric techniques 23, 24 commonly used to measure the effect of policies 25, 26 or other events (e.g., wars 27 or environmental changes 28 ) on economic growth rates"
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,"Similarly to early COVID-19 infections, economic output generally increases exponentially with a variable rate that can be affected by policy or other conditions"
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,"Our econometric approach accounts for differences in the baseline growth rate of infections across locations due to differences in demographics, socio-economic status, culture, or health systems across localities within a country; it accounts for systemic patterns in growth rates within countries unrelated to policy, such as the effect of the work-week; it is robust to systematic under-surveillance; and it accounts for changes in procedures to diagnose positive cases (see Methods and Appendix Section 2)"
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,"varying intercepts captured as coefficients to dummy variables) to account for all time-invariant factors that affect the local growth rate of infections, such as differences in demographics, socio-economic status, culture, or health systems"
34495,The Effect of Large-Scale Anti-Contagion Policies on the Coronavirus (COVID-19) Pandemic,Département -level populations are obtained from the National Institute of Statistics and Economic database https://www.insee.fr/fr/statistiques/2012713#tableau-TCRD_004_tab1_departements .
34506,COVID-19 attack rate increases with city size,"Governments around the world are now enacting aggressive policies, including ""shelter in place"" and emergency closures of all nonessential services, which carry severe economic and social consequences"
34506,COVID-19 attack rate increases with city size,Cities are predicated on extensive and intense socioeconomic interactions
34506,COVID-19 attack rate increases with city size,"Many of their measurable properties -from the size of their economies, to their crime rates, to the prevalence of certain infectious diseases -are mediated by socioeconomic interactions"
34506,COVID-19 attack rate increases with city size,"All of these relationships are tied to socioeconomic networks with average degree (number of social connections per capita) that increases approximately as a power law of city size k(N ) = k 0 N δ , with δ 1/6 (7, 8) ."
34506,COVID-19 attack rate increases with city size,"At the same time, once the outbreak is contained it might be possible to relax social distancing policies in smaller cities first, allowing a faster return to normal life and economic activity compared to more populous cities."
34506,COVID-19 attack rate increases with city size,"These distinctions may help to bring more nuance to ongoing strategies for suppression and control of COVID-19, including gradually restoring socioeconomic activity in context appropriate and safe ways."
34506,COVID-19 attack rate increases with city size,"Finally, as strategies for controlling this outbreak continue to evolve, it is critical to keep in mind that almost everything that we appreciate about urban environments, including their economic prowess, their ability to innovate, and their role in their inhabitants social and mental health, is predicated on network effects mediated by socioeconomic interactions"
34506,COVID-19 attack rate increases with city size,"Research on safe types of socioeconomic contact and exchange is therefore paramount so that we can succeed in controlling this outbreak while maintaining livelihoods, socioeconomic capacity, and mental health"
34506,COVID-19 attack rate increases with city size,The higher socioeconomic connectivity of larger cities in a fast urbanizing world makes containing emergent epidemics harder
34506,COVID-19 attack rate increases with city size,"But the density of socioeconomic connections in cities can also facilitate the spread of information, social coordination, and innovations necessary to stop the spread of COVID-19"
34510,Is scaling-up COVID-19 testing cost-saving?,"Values lower than 0 (red cells) indicate net economic losses, while values higher than 0 (blue cells) indicate net economic savings."
34545,Targeted adaptive isolation strategy for Covid-19 pandemic,"However, with too much focus on the implementation of uniform social distancing and no clear targeted measures for identifying and efficiently protecting the vulnerable sub-population can lead to a very dangerous scenario with high mortality in spite of the high social and economic costs of an extended and potentially recurrent epidemic"
34587,"Mathematical modeling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada","While they are expected to be effective in reducing transmission of SARS-CoV-2, they are also associated with substantial economic costs and social disruption."
34587,"Mathematical modeling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada","In the case of COVID-19, it may not be possible to minimize morbidity and mortality, and societal and economic disruption at the same time."
34587,"Mathematical modeling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada","Control strategies for COVID-19 thus need to balance competing risks: the risks of mortality and health system collapse, on the one hand, against economic risks and attendant hardships (and health consequences) on the other"
34587,"Mathematical modeling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada","https://doi.org/10.1101/2020.03.24.20042705 doi: medRxiv preprint occupancy, could maintain health system capacity and also allow periodic psychological and economic respite for populations"
34636,Re-analysis of SARS-CoV-2 infected host cell proteomics time-course data by impact pathway analysis and network analysis. A potential link with inflammatory response.,"Because there is currently neither effective treatment nor vaccine, the main measure taken by nations has been social distancing first, and then partial or total preventive lockdown afterwards, deriving in the biggest global economic crisis also of the 21st century."
34655,Projecting the Spread of COVID19 for Germany,"There is no need to stress the importance of the Coronavirus disease (COVID-19) for public health, economic consequences and well-being of individuals"
34655,Projecting the Spread of COVID19 for Germany,Why should economists work on an epidemic? The economic costs of COVID-19 are huge and seem to be larger than those of the …nancial crisis starting in 2007
34655,Projecting the Spread of COVID19 for Germany,5 The conclusion discusses various next steps that should be undertaken to understand economic consequences of COVID-19 better
